״̬,ACTION,,,,,,,,,,,,,,,GOTO,,,,,,,
,id,int,*,+,-,=,(,),Semicolon,IntConst,return,?,:,&,$,E,S,S_list,D,A,B,T,L
0,shift 4,shift 5,,,,,,,,,shift 6,,,,,,1,2,3,,,,
1,,,,,,,,,shift 7,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,accept,,,,,,,,
3,shift 8,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,shift 9,,,,,,,,,,,,,,,,,
5,reduce D -> int,,,,,,,,,,,,,,,,,,,,,,
6,shift 13,,,,,,shift 14,,,shift 15,,,,,,10,,,,11,12,,
7,shift 4,shift 5,,,,,,,,,shift 6,,,,reduce S_list -> S Semicolon,,1,16,3,,,,
8,,,,,,,,,reduce S -> D id,,,,,,,,,,,,,,
9,shift 22,,,,,,shift 23,,,shift 24,,,,,,17,,,,18,19,20,21
10,,,,shift 25,shift 26,,,,reduce S -> return E,,,,,,,,,,,,,,
11,,,shift 27,reduce E -> A,reduce E -> A,,,,reduce E -> A,,,,,,,,,,,,,,
12,,,reduce A -> B,reduce A -> B,reduce A -> B,,,,reduce A -> B,,,,,,,,,,,,,,
13,,,reduce B -> id,reduce B -> id,reduce B -> id,,,,reduce B -> id,,,,,,,,,,,,,,
14,shift 31,,,,,,shift 32,,,shift 33,,,,,,28,,,,29,30,,
15,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,,reduce B -> IntConst,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,reduce S_list -> S Semicolon S_list,,,,,,,,
17,,,,shift 34,shift 35,,,,reduce S -> id = E,,,,,shift 36,,,,,,,,,
18,,,shift 37,reduce E -> A,reduce E -> A,,,,reduce E -> A,,,,,reduce E -> A,,,,,,,,,
19,,,reduce A -> B,reduce A -> B,reduce A -> B,,,,reduce A -> B,,,,,reduce A -> B,,,,,,,,,
20,,,,,,,,,reduce S -> id = T,,,,,,,,,,,,,,
21,,,,,,,,,,,,shift 38,,shift 39,,,,,,,,,
22,,,reduce B -> id,reduce B -> id,reduce B -> id,,,,reduce B -> id,,,,,reduce B -> id,,,,,,,,,
23,shift 31,,,,,,shift 32,,,shift 33,,,,,,40,,,,29,30,,
24,,,reduce B -> IntConst,reduce B -> IntConst,reduce B -> IntConst,,,,reduce B -> IntConst,,,,,reduce B -> IntConst,,,,,,,,,
25,shift 13,,,,,,shift 14,,,shift 15,,,,,,,,,,41,12,,
26,shift 13,,,,,,shift 14,,,shift 15,,,,,,,,,,42,12,,
